Temp,Pressure,Liquid Density,Liquid Energy,Liquid Enthalpy
250.0,1.6402,22.986,5.1442,5.2155
252.5,1.7691,22.753,5.3553,5.4330
255.0,1.9053,22.515,5.5683,5.6521
257.5,2.0489,22.271,5.7830,5.8749
260.0,2.2002,22.023,5.9997,6.0996
262.5,2.3594,21.768,6.2187,6.3271
265.0,2.5269,21.506,6.4402,6.5577
267.5,2.7028,21.238,6.6642,6.7914
270.0,2.8874,20.961,6.8910,7.0288
272.5,3.0810,20.677,7.1210,7.2701
275.0,3.2839,20.382,7.3545,7.5156
277.5,3.4963,20.077,7.5919,7.7660
280.0,3.7186,19.760,7.8336,8.0218
282.5,3.9511,19.429,8.0803,8.2837
285.0,4.1942,19.083,8.3327,8.5525
287.5,4.4481,18.718,8.5918,8.8294
290.0,4.7134,18.331,8.8588,9.1160
292.5,4.9904,17.916,9.1356,9.4141
295.0,5.2797,17.468,9.4244,9.7267
297.5,5.5817,16.975,9.7291,10.058
300.0,5.8973,16.420,10.055,10.415
302.5,6.2273,15.773,10.414,10.809
305.0,6.5727,14.970,10.828,11.267
307.5,6.9354,13.810,11.367,11.870
310.0,7.3,8.4637,13.569,14.31
