Temperature (K),Pressure (MPa),Density (mol/l),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa)
205.14,0.3,0.18698,15.363,16.967,83.081,29.475,41.092,217.96,33.909
211.46,0.4,0.24518,15.466,17.097,81.471,30.395,42.78,219.08,30.6
216.67,0.5,0.30293,15.546,17.196,80.222,31.164,44.286,219.75,28.235
221.15,0.6,0.36046,15.61,17.275,79.201,31.83,45.674,220.14,26.432
225.09,0.7,0.41794,15.664,17.339,78.333,32.42,46.978,220.33,24.996
228.64,0.8,0.47547,15.709,17.392,77.578,32.952,48.224,220.39,23.816
231.87,0.9,0.53315,15.747,17.436,76.907,33.439,49.428,220.33,22.824
234.85,1,0.59105,15.781,17.472,76.302,33.889,50.602,220.2,21.974
237.62,1.1,0.64922,15.809,17.503,75.75,34.308,51.756,219.99,21.235
240.2,1.2,0.70771,15.834,17.529,75.241,34.702,52.897,219.73,20.585
242.63,1.3,0.76656,15.855,17.551,74.768,35.074,54.031,219.42,20.006
244.93,1.4,0.82582,15.873,17.569,74.325,35.427,55.165,219.08,19.487
247.11,1.5,0.88552,15.889,17.583,73.908,35.764,56.301,218.7,19.018
249.19,1.6,0.94569,15.902,17.594,73.513,36.087,57.446,218.29,18.591
251.18,1.7,1.0064,15.913,17.603,73.137,36.398,58.601,217.85,18.2
253.08,1.8,1.0676,15.922,17.608,72.778,36.697,59.771,217.39,17.84
254.91,1.9,1.1294,15.93,17.612,72.433,36.987,60.96,216.92,17.507
256.66,2,1.1918,15.935,17.614,72.102,37.268,62.17,216.42,17.198
258.36,2.1,1.2548,15.939,17.613,71.782,37.542,63.405,215.91,16.909
260,2.2,1.3185,15.942,17.61,71.472,37.809,64.667,215.38,16.639
261.58,2.3,1.3828,15.943,17.606,71.172,38.069,65.961,214.84,16.385
263.12,2.4,1.4479,15.942,17.6,70.879,38.324,67.29,214.29,16.146
264.61,2.5,1.5138,15.941,17.592,70.594,38.575,68.657,213.73,15.92
266.05,2.6,1.5804,15.938,17.583,70.315,38.821,70.065,213.15,15.706
267.46,2.7,1.6479,15.934,17.572,70.042,39.063,71.52,212.57,15.503
268.83,2.8,1.7162,15.928,17.56,69.775,39.302,73.024,211.97,15.308
270.17,2.9,1.7854,15.922,17.546,69.512,39.537,74.582,211.37,15.123
271.47,3,1.8556,15.914,17.531,69.253,39.77,76.198,210.76,14.946
